text,sentiment,source
Lazy rainy day  slept most of it away lol,positive,twitter
@lonelythebrave that sounds pretty harsh ,negative,twitter
"Had an interview on Friday, got a second interview on Tuesday but means no wimbledon that day!  the sacrifices I have to make urghh!!",negative,twitter
Budget: A method for going broke methodically.    #1liners,positive,twitter
L4D 2 with AXES?  http://bit.ly/eg5Gl  #e3,positive,twitter
ahh..infomercial time  seriously....i NEED the magic bullet!:|,positive,twitter
@mollydotcom I knew that @opera's yesterday one-word tweet &quot;Tomorrow&quot; meant that Beta would be out today ,positive,twitter
@KimKardashian yes yes yes - short hair rocks   And you can always grow it again or get extensions if you don't like it x,positive,twitter
@amoyal That sums it up nicely. ,positive,twitter
@PaulHarriott Plan4 ?? More beer ??  OK. Be right back ,positive,twitter
@Barefoot_me I found you. Thanks for doing this. Just a couple of days and I was jonesin' for my katy fix. Have a great day. ,positive,twitter
said goodbye to her long hair &amp; HELLO TO SUMMER HAIRCUT&lt;3 its bob/A-line thing..hmm i look adorable ,positive,twitter
Good Morning! The SAT's is today at 8am and we're gonna be there at 7:45 just incase. Wish me Luck! (-:   Love- Julio ,positive,twitter
I still have work to do in my refining my own niche...that's how I know ,positive,twitter
"I question the motive of the creators of this fictional account of the BTK killer's motives. Are they attempting to portray animal rights activists as sick monsters? Who is responsible for this? Don't they think the people involved with this monster are hurting enough? What a blatant disrespect and exploitation of the victims! It was like a personality experiment: What disturbs you more, the slaughterhouse or the human murders? They used actual names of some of the victims....this movie was hideous, disrespectful and insulting! The creators of this movie used this tragedy for their own agenda! People need to awaken and redraw the line!",negative,imdb
I'm having some pretty intense allergy 'attacks' - don't know what from! And I keep falling asleep at my desk - not good...  ,negative,twitter
http://twitpic.com/6p24c - Green fire ,positive,twitter
"iPhone OS 3.0 is still limited to one Exchange account, so no Google Sync Exchange for me.  http://bit.ly/KjOxN",negative,twitter
@JustinKownacki I unsubscribed from Obama this week too. I am on a low-fat email diet these days so I unsubbed from nearly everything. ,positive,twitter
Discussed a lot with China and Russia .... they really got on my nerves today! Am so glad that am off now &amp; weather is beautiful ,positive,twitter
I swear being to walk to Figo from my spot is beyond amazing!!!! Awwwww ,positive,twitter
Today I fucked up my leg while bike riding  gunna go out to sushi maybe I'll feel better,negative,twitter
@am13er can you send me the script? Haha I saw your tweet and now I feel like reading it ,positive,twitter
@GuzenMediaJapan Having weekdays off is great - things are open! ,positive,twitter
So tired ,negative,twitter
i love music of lady gaga! ,positive,twitter
@LaceySchwimmer so you think you can dance?? I don't know about you but i was so disappointed that they sent Max home ,negative,twitter
@JoshMusic Tha bitch is back!  grapjehoor!,positive,twitter
"@jonkido @andiharman yeah, i was pretty much yelling at the screen for bout 10 mins after. stupid refs ",negative,twitter
@MountainDan I noticed recently you're one of top Twitterers in Vienna / Austria ,positive,twitter
@matthiaspatz Hey Matti! Yep got it! I'll take care of it tomorrow! Got caught up with a lot of stuff man. ,positive,twitter
@ernesthojilla Go Twitter Ernest ,positive,twitter
@livnb HE REPLIED TO ME!! FUCK DO YOU THINK HE HATES ME NOW!?!?!  LIKE HE REALY HATES ME!! ,negative,twitter
going to my dorm today ... I dont wanna go ,negative,twitter
I love asian coffeeee ,positive,twitter
Why do I wake up at 5am on Sundays? ,negative,twitter
@mkayes  I know 100% as an ex mate blocked me  Previously I could not even find her but now I see her tweets and that I am blocked,negative,twitter
Morning another day of work and no play ,negative,twitter
my internet isnt workin ,negative,twitter
@Ramoso Hihi I love it! Drinking Red Bull in the morning  ,positive,twitter
oh its been a while...but im at home in j-ville...bored ,negative,twitter
I wish dominos was open now ,negative,twitter
"Had a great time while in TX, today I saw a guy at DFW wearing a &quot;TY RULES&quot; t-shirt!  also thanked 5 soldiers for serving our country!  ",positive,twitter
Is addicted to diet dr pepper. Goodnight ,positive,twitter
@twobeerqueers [bully] oooo let's collaborate!! Where's ur list? I like see! ,positive,twitter
"@iammatteblack I would love to but I have a wedding i am going to plus work in the morn, ",negative,twitter
"got toothache  dentist booked for monday morning, ah well bad tooth = hard to eat = weight loss  lol",negative,twitter
hahaha i'm so hormonally insane right now! i cried in the shower and now i'm mad at my life. also i want chocolate ,negative,twitter
watching grey's anatomy makes me cry because i miss seattle ,negative,twitter
i wish the rain will stop so i can go out and see my friends.. ,negative,twitter
@MikeCampbe11 Sorry to hear about your Pap ,negative,twitter
@bobbyedner woah!!lol finally and calling hima clown on his bday too..eyy meanie  #HappyBirthdayDrewRyanScott,negative,twitter
@tomc1995 cool ,positive,twitter
The Hills Finale! Aww I'm gonna miss Lauren ,negative,twitter
@misskat802 Haha!!   I had the wrong #,positive,twitter
@kriswill ahhh  well I hope you get some sleep yo.,negative,twitter
"@midohyo i didn't buy it - i bought your planner already, remember? ",positive,twitter
Having a coffee with Lewis &amp; Jensen. Morning all ,positive,twitter
996 followers - rock on I love you guys   #mmwanted,positive,twitter
"AHHHH... THIS SOME BULLSHIT, I GOT SCHOOL IN FEW HOURS!!! ",negative,twitter
@Slip_n_Slide do a rain dance  I g2g to work now but I will catch up with you later,positive,twitter
@TheATSGuy I should have scheduled a seminar for this morning ,negative,twitter
Has an ear infection  MCFLY SATURDAY! &lt;3,negative,twitter
